Date,Text,Link(s),Media URL(s)
,"ديليبيريت إل – بيج فاتح ✨

تعكس حقيبة ديليبريت التزامنا بالتصميم المدروس والحرفية العالية. تتميز بتصميم منسوج يدوي يحمل بصمة العلامة، مع شكل عصري وكلاسيكي في الوقت نفسه، ومحدث بألوان الموسم الرائجة. مصنوعة من خامات فاخرة، ويمنحها الملمس المنسوج لمسة راقية. تكتمل بقفل يحمل شعار الماركة، مع حمالة قابلة للتعديل لأسلوب عملي يتيح حرية الحركة.

▫️ السعر: 350 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-deliberatel-0019511200009433_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberatel-0019511200009433_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberatel-0019511200009433_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberatel-0019511200009433_model.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-deliberatel-0019511200009433_top.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//w/e/web_-_banner_1920_750_px.jpg"
,"دارلا – أبيض ✨

تقدم حقيبة دارلا أسلوباً راقياً يعبر عن فخامة بسيطة ولمسة أنيقة. تم تصنيعها من جلد ناعم يمنح إطلالة فاخرة، ويتميز تصميمها بمقبض علوي دائري من الراتنج مع تفاصيل معدنية باللون الذهبي. توفر الحمالة القابلة للإزالة والتعديل خيار حمل كروس أو على الكتف لمرونة أكبر في الاستخدام. وتعد دارلا خياراً مثالياً للمرأة العصرية التي تبحث عن حقيبة تجمع بين الأناقة والعملية.

▫️ السعر: 250 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dharla-0022509700038487_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dharla-0022509700038487_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dharla-0022509700038487_detail_1.jpg"
,"ديبند – تان ✨

تقدم حقيبة ديبند مجموعة من الاقسام المصممة بذكاء لتواكب وتيرة يومك طوال الاسبوع. يتم تصنيعها باحتراف من جلد فاخر مع لوحات متباينة الملمس، وتكتمل بلمسات علامة ديون لندن التي تضيف مظهرا راقيا. يوفر الداخل اقساما متوازنة تتسع للجهاز اللوحي والاوراق والاحتياجات اليومية، بينما يمكن تثبيت المقابض العلوية بخفاء من خلال زر صغير. تعتبر ديبند خيارا مثاليا لمن يبحث عن اناقة عملية وسهلة في ايام العمل.

▫️ السعر: 350 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-depend-0020500110028351_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-depend-0020500110028351_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-depend-0020500110028351_detail_1.jpg"
,"داليا - أسود ✨

أضف لمسة فاخرة إلى أسلوبك اليومي مع شنطة دارا من ديون لندن. تأتي بجيب رئيسي واسع مع غطاء علوي أنيق، وتزينها زهرة أمامية معدنية وتفاصيل ذهبية لامعة تمنحك إطلالة راقية متكاملة.

▫️ السعر: 250 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dalia-0022500110032052_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dalia-0022500110032052_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dalia-0022500110032052_detail.jpg"
,"سيليكشن - مرجاني ✨

تم تصميم هذه الحقيبة الميني ذات الشكل الزاوي المنحوت لتحمل بسهولة تحت الذراع عند ارتدائها على الكتف. تجمع بين الراحة والأناقة مع مقبض سلسلة جزئي مصنوع من حلقات ذهبية فاخرة مثبتة بحلقات جانبية. وتتميز بشعار العلامة في الأمام مع حزام كتف قابل للفصل لتحويلها إلى حقيبة كروس بادي متعددة الاستخدامات.

▫️ السعر: 170 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-selection-1064509700005219_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-selection-1064509700005219_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//w/e/web_-_banner_600_750_px_-_2.jpg"
,"دينكي ديليبيريت – بني ✨

نسخة أصغر من حقيبة ديليبريت المنسوجة الأيقونية، تتميز بقفل مغناطيسي يحمل شعار الماركة، مع حقيبة داخلية إضافية بسحاب لتنظيم الأغراض. يتيح الحزام القابل للإزالة تحويلها من حقيبة يد إلى حقيبة بحمالة طويلة ، لتجمع بين الأناقة والعملية في تصميم واحد أنيق.

▫️ السعر: 270 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinkydeliberate-0024511200006351_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_side.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinkydeliberate-0024511200006351_top.jpg"
,"ميلين – ذهبي ✨

يعكس هذا الصندل أسلوباً أنيقاً يجمع بين اللمسات الكلاسيكية والطابع الانثوي. يتميز بظهر مغلق مع قفل قابل للتعديل، وكعب عالي رفيع، ومقدمة مفتوحة تضيف شكلاً أنيقاً لإطلالتك. يعد خياراً مناسباً للتنسيق مع فساتين السهرة لإطلالةٍ بارزةٍ دون أي جهد.

▫️ السعر: 350 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-milene-0088503940123393_front_3.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/i/di_ss26_ladies_ramadan_milene_gold.jpeg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-milene-0088503940123393_back_3.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-milene-0088503940123393_side_3.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-milene-0088503940123393_top_3.jpg"
,"ليث – تان ✨

صندل كاجوال يجمع بين الأناقة والبساطة، يتميز بمقدمة جلدية ناعمة وتفصيلة معدنية مزدوجة تحمل شعار الماركة. مصنوع من جلد فاخر مع بطانة راقية توفر راحة استثنائية. مزود بمشبك أنيق يمنح ثباتًا مثاليًا، ليكون مناسبًا للإطلالات اليومية أو الأمسيات الأنيقة.

▫️ السعر: 200 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-laith-0079510780033511_front_4.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_front_3.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_front_2.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_front_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_back_3.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_back_2.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_back_1.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_back_4.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-laith-0079510780033511_back.jpg"
,"دينيدليبرات - بيوتر ✨

اكتشفي شنطة دينيدليبرات الصغيرة، الإضافة الأحدث لعائلة ديليبرات الأيقونية. تصميم مدمج يعكس شخصية الموديلات الأكبر بحجم مثالي. صنعت بنسيج مميز مع مقبض دائري ملفت، وتأتي مع محفظة صغيرة بسحاب قابلة للفصل لحفظ الأساسيات بأناقة. خيار عملي وأنيق يناسب النهار والمساء، بلمسة جريئة مع جهد أقل.

▫️ السعر: 300 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-dinideliberate-0024511200008310_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_detail.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-dinideliberate-0024511200008310_side.jpg"
,"ديركشن - بيج فاتح ✨

تميّزي مع شنطة كتف مصممة بزوايا منحوتة لتستقر بأناقة أسفل الذراع عند ارتدائها على الكتف. تجمع بين الراحة والأناقة مع مقبض معدني جزئي مصنوع من سلاسل ذهبية مثبتة بحلقات جانبية. يزينها شعار العلامة في الأمام، بينما يتيح الحزام القابل للفصل ارتداؤها كشنطة كروس بادي لتمنحك إطلالة متعددة الاستخدامات.

▫️ السعر: 270 ر.س
▫️ للطلب والاستفسار: تواصلوا معنا عبر الرسائل الخاصة (DM) 📩

#حقائب_نسائية #شنط #أناقة #NorahAlZahrani #موضة",,"https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//cache/7979606d890c211479dc7a080f45fccc/d/u/du-direction-0022509700036736_front.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036736_back.jpg, https://d1q03ajwgi7cv2.cloudfront.net/media/catalog/product//d/u/du-direction-0022509700036736_detail.jpg"
